timestamp,pos_x,pos_y,pos_z,yaw,yaw_rate,yaw_cmd,flag
1612940512939795456,19.46834946,60.0867157,-4.99468803,0.66089717,-0.0021171,-0.20410156,0
1612940513041797632,19.61405754,60.2227211,-4.9946394,0.66042203,-0.01996529,-0.32714844,0
1612940513143799808,19.76071548,60.35774994,-4.99458027,0.65565175,-0.07757249,-0.34375,0
1612940513242801920,19.90390587,60.48793793,-4.99451733,0.64480587,-0.13870212,-0.33984375,0
1612940513344804096,20.05225563,60.62121582,-4.99446774,0.62824578,-0.18267891,-0.32128906,0
1612940513443806208,20.19702721,60.74974442,-4.99442959,0.60871886,-0.20879744,-0.31542969,0
1612940513545808384,20.34702492,60.88126755,-4.99441242,0.58663132,-0.2228929,-0.31445312,0
1612940513647810560,20.49794197,61.01174545,-4.99442768,0.56344085,-0.23120642,-0.3125,0
1612940513746812672,20.64538765,61.13726425,-4.99447489,0.54028185,-0.23621637,-0.30859375,0
1612940513848814848,20.79840851,61.26524734,-4.99455976,0.51602582,-0.23897934,-0.29980469,0
1612940513950817024,20.95265198,61.39168549,-4.99467707,0.4916052,-0.23925272,-0.29296875,0
1612940514052819200,21.10821533,61.51638794,-4.99481964,0.46728408,-0.23735031,-0.28710938,0
1612940514151821312,21.26054573,61.63560104,-4.99498415,0.44392402,-0.23442298,-0.22851562,0
1612940514253823488,21.41894913,61.75635147,-4.9951725,0.42029998,-0.22509898,-0.21191406,0
1612940514355825664,21.57889557,61.87485123,-4.99536705,0.39820626,-0.20815973,-0.20996094,0
1612940514457827840,21.74043083,61.99094009,-4.9955616,0.37774668,-0.19385545,-0.20996094,0
1612940514556829952,21.89876366,62.10117722,-4.99574947,0.3590586,-0.18429779,-0.20996094,0
1612940514658832128,22.06350136,62.21212769,-4.9959259,0.34061528,-0.17773843,-0.20996094,0
1612940514760834304,22.22986794,62.32032394,-4.99608135,0.32271911,-0.17339741,-0.15820312,0
1612940514859836416,22.39288712,62.42263794,-4.99620295,0.30575811,-0.16632369,-0.05859375,0
1612940514961838592,22.56241417,62.52522659,-4.99629879,0.28970747,-0.14303695,0.0,0
1612940515063840768,22.73350525,62.62488556,-4.99636793,0.27703784,-0.10344439,0.0,0
1612940515162842880,22.90102577,62.71879578,-4.99640942,0.26859017,-0.06929691,0.0,0
1612940515264845056,23.07508278,62.8126564,-4.99641657,0.26278787,-0.04586151,0.0,0
1612940515363847168,23.24538994,62.90095901,-4.99638224,0.25903557,-0.03072263,-0.10742188,0
1612940515465849344,23.42219162,62.98914337,-4.99629688,0.25630028,-0.03010353,-0.20703125,0
1612940515567851520,23.60027504,63.07461166,-4.99616241,0.25204671,-0.05834799,-0.22851562,0
1612940515666853632,23.77427292,63.15510941,-4.99599123,0.24439425,-0.09524976,-0.234375,0
1612940515768855808,23.95465279,63.23563766,-4.99578857,0.2331097,-0.12431646,-0.25488281,0
1612940515870857984,24.13608932,63.31383133,-4.99557781,0.21928697,-0.1465642,-0.26171875,0
1612940515969860096,24.31315422,63.38756943,-4.99538612,0.20382835,-0.16488628,-0.26757812,0
1612940516071862272,24.49654388,63.46130753,-4.99522018,0.18624272,-0.17931764,-0.2890625,0
1612940516170864384,24.67543983,63.53069687,-4.99509716,0.1679124,-0.19163123,-0.29492188,0
1612940516272866560,24.86066437,63.59988785,-4.99501038,0.14769911,-0.20423254,-0.29589844,0
1612940516371868672,25.04130363,63.66473007,-4.99496603,0.12699905,-0.21335734,-0.296875,0
1612940516473870848,25.22828865,63.72907639,-4.99495459,0.10488219,-0.21989344,-0.29296875,0
1612940516575873024,25.41613579,63.79081726,-4.9949789,0.0822124,-0.22402623,-0.27246094,0
1612940516677875200,25.60482407,63.84983063,-4.99503422,0.05928394,-0.22404218,-0.24707031,0
1612940516776877312,25.78874779,63.9043808,-4.9951129,0.03732928,-0.21799184,-0.22558594,0
1612940516872879360,25.96781349,63.95459747,-4.99521589,0.0168093,-0.20888093,-0.21972656,0
1612940516971881472,26.15317917,64.00352478,-4.99532604,-0.00331056,-0.19783393,-0.09179688,0
1612940517073883648,26.34487534,64.05077362,-4.99545527,-0.0228429,-0.17765477,-0.01757812,0
1612940517274887936,26.72456932,64.13422394,-4.99568653,-0.05016083,-0.09324154,0.0,0
1612940517274887936,26.72456932,64.13422394,-4.99568653,-0.05016083,-0.09324154,0.0,0
1612940517478892288,27.11224365,64.20552826,-4.99582958,-0.0632101,-0.04472717,-0.18652344,0
1612940517577894400,27.30109978,64.2353363,-4.99582863,-0.06762794,-0.05426818,-0.20410156,0
1612940517679896576,27.49611092,64.26290131,-4.99576998,-0.07491664,-0.08749266,-0.22265625,0
1612940517781898752,27.6915226,64.28741455,-4.99565744,-0.08521952,-0.11380384,-0.2265625,0
1612940517883900928,27.88729668,64.30903625,-4.99550581,-0.09797192,-0.13494091,-0.22167969,0
1612940517982903040,28.07762718,64.3273468,-4.99534845,-0.11207734,-0.14861053,-0.1484375,0
1612940518084905216,28.27401161,64.34350586,-4.99519777,-0.12760541,-0.15057151,-0.08691406,0
1612940518183907328,28.46486282,64.3565979,-4.99506903,-0.14179952,-0.13273279,-0.05175781,0
1612940518285909504,28.66170311,64.36741638,-4.99496651,-0.15411459,-0.10802967,-0.01074219,0
1612940518387911680,28.85871506,64.37549591,-4.99489117,-0.16383933,-0.08151303,0.0,0
1612940518489913856,29.05585289,64.38085175,-4.99483442,-0.17080208,-0.05591397,0.0,0
1612940518588915968,29.24728203,64.383461,-4.99478722,-0.17537133,-0.03745679,0.0,0
1612940518690918144,29.444561,64.38352966,-4.99473381,-0.17851014,-0.02478949,0.0,0
1612940518792920320,29.64189911,64.38105011,-4.99466467,-0.18058993,-0.01640622,0.0,0
1612940518891922432,29.83343315,64.37628937,-4.9945817,-0.18193552,-0.01099074,0.0,0
1612940518993924608,30.03077126,64.36909485,-4.99448156,-0.18286073,-0.0072741,0.0,0
1612940519095926784,30.22810936,64.35971069,-4.99436808,-0.18347452,-0.00481438,0.0,0
1612940519194928896,30.4196434,64.34864807,-4.99425793,-0.18387237,-0.00322539,0.0,0
1612940519296931072,30.61698151,64.3353653,-4.99414444,-0.18414637,-0.00213484,0.0,0
1612940519395933184,30.80851555,64.32077789,-4.99403429,-0.18432413,-0.00143033,0.0,0
1612940519497935360,31.00583458,64.30413055,-4.993927,-0.18444723,-0.0009468,0.0,0
1612940519599937536,31.20310783,64.2859726,-4.99382973,-0.18452914,-0.00062678,0.0,0
1612940519701939712,31.40038109,64.26638031,-4.99374819,-0.18458374,-0.00041495,0.0,0
1612940519800941824,31.59185219,64.2461319,-4.99368143,-0.18461991,-0.00027809,0.0,0
1612940519902944000,31.78912544,64.22406769,-4.99362516,-0.184645,-0.00018415,0.0,0
1612940520001946112,31.98056984,64.20158386,-4.99358273,-0.18466126,-0.00012345,0.0,0
1612940520103948288,32.17783737,64.17738342,-4.9935503,-0.1846729,-8.178e-05,0.0,0
1612940520205950464,32.37511063,64.15222931,-4.99353313,-0.18468086,-5.418e-05,0.0,0
1612940520307952640,32.57228851,64.12618256,-4.99352407,-0.18468624,-3.591e-05,0.0,0
1612940520406954752,32.76363373,64.10012054,-4.99352407,-0.18468978,-2.41e-05,0.0,0
1612940520508956928,32.96077728,64.0725174,-4.99353266,-0.18469232,-1.6e-05,0.0,0
1612940520607959040,33.1521225,64.0450592,-4.99354839,-0.1846943,-1.076e-05,0.0,0
1612940520709961216,33.34926605,64.01613617,-4.99356461,-0.1846961,-7.15e-06,0.0,0
1612940520811963392,33.54640961,63.98660278,-4.9935956,-0.18469747,-4.76e-06,0.0,0
1612940520910965504,33.73775482,63.95741272,-4.99362707,-0.18469834,-3.2e-06,0.0,0
1612940521012967680,33.93489838,63.92683792,-4.9936595,-0.18469914,-2.13e-06,0.0,0
1612940521114969856,34.13204193,63.89578247,-4.99369192,-0.18469987,-1.43e-06,0.0,0
1612940521213971968,34.32338715,63.86522293,-4.99372339,-0.18470014,-9.7e-07,0.0,0
1612940521315974144,34.5205307,63.83333969,-4.99375582,-0.18470023,-6.5e-07,0.0,0
1612940521417976320,34.71767426,63.8010788,-4.9937911,-0.18470025,-4.5e-07,0.0,0
1612940521516978432,34.90901947,63.7694397,-4.99383402,-0.18470022,-2.9e-07,0.0,0
1612940521618980608,35.10616302,63.73651886,-4.99386644,-0.18470015,-2.1e-07,0.0,0
1612940521717982720,35.29750824,63.70428848,-4.99389791,-0.18470004,-1.6e-07,0.0,0
1612940521819984896,35.49465179,63.6708107,-4.99393463,-0.18469988,-1.2e-07,0.0,0
1612940521918987008,35.68596268,63.63807678,-4.9939661,-0.18469996,-9e-08,0.0,0
1612940522020989184,35.88297653,63.60412216,-4.99399853,-0.18470028,-6e-08,0.0,0
1612940522221993472,36.27120972,63.53658676,-4.99406242,-0.18470075,-2e-08,0.0,0
1612940522221993472,36.27120972,63.53658676,-4.99406242,-0.18470075,-2e-08,0.0,0
1612940522422997760,36.6594429,63.46833038,-4.99412632,-0.18470115,-1e-08,0.03720093,0
1612940522524999936,36.85645676,63.43346024,-4.99415874,-0.18461265,0.00430688,0.04211426,0
1612940522627002112,37.05347061,63.39842987,-4.99419117,-0.18370577,0.01321934,0.04406738,0
1612940522726004224,37.24468994,63.3643074,-4.99422264,-0.18204956,0.0199018,0.08514404,0
1612940522828006400,37.4417038,63.32902908,-4.99425507,-0.17968882,0.02861208,0.0920105,0
1612940522930008576,37.63871765,63.29363251,-4.99428177,-0.17605514,0.0421751,0.09884644,0
1612940523029010688,37.82993698,63.2592659,-4.9942975,-0.17135134,0.05249472,0.11645508,0
1612940523131012864,38.02695084,63.22373199,-4.99431372,-0.16551242,0.06244808,0.1506958,0
1612940523233015040,38.2240181,63.18829727,-4.99432993,-0.1585669,0.07508489,0.15463257,0
1612940523332017152,38.41536331,63.15396118,-4.99434566,-0.15037226,0.08975911,0.15756226,0
1612940523434019328,38.61250687,63.11875153,-4.99436188,-0.14062825,0.10074247,0.16146851,0
1612940523536021504,38.80970001,63.0838089,-4.99439049,-0.12992017,0.10894337,0.16244507,0
1612940523635023616,39.00117111,63.05023575,-4.99442196,-0.11882156,0.11493241,0.16146851,0
1612940523737025792,39.1985321,63.01611328,-4.99445438,-0.1068672,0.11910599,0.12527466,0
1612940523836027904,39.39017487,62.98356628,-4.99448586,-0.09499391,0.11835948,0.10668945,0
1612940523938030080,39.58773804,62.95074081,-4.99451828,-0.08333366,0.10945508,0.08612061,0
